addAplyQlfcCndCn,aplyPrdSeCd,aplyUrlAddr,aplyYmd,bizPrdBgngYmd,bizPrdEndYmd,bizPrdEtcCn,bizPrdSeCd,bscPlanAsmtNo,bscPlanCycl,bscPlanFcsAsmtNo,bscPlanPlcyWayNo,earnCndSeCd,earnEtcCn,earnMaxAmt,earnMinAmt,etcMttrCn,frstRegDt,inqCnt,jobCd,lastMdfcnDt,lclsfNm,mclsfNm,mrgSttsCd,operInstCd,operInstCdNm,operInstPicNm,plcyAplyMthdCn,plcyAprvSttsCd,plcyExplnCn,plcyKywdNm,plcyMajorCd,plcyNm,plcyNo,plcyPvsnMthdCd,plcySprtCn,ptcpPrpTrgtCn,pvsnInstGroupCd,refUrlAddr1,refUrlAddr2,rgtrHghrkInstCd,rgtrHghrkInstCdNm,rgtrInstCd,rgtrInstCdNm,rgtrUpInstCd,rgtrUpInstCdNm,sbizCd,sbmsnDcmntCn,schoolCd,sprtArvlSeqYn,sprtSclCnt,sprtSclLmtYn,sprtTrgtAgeLmtYn,sprtTrgtMaxAge,sprtTrgtMinAge,sprvsnInstCd,sprvsnInstCdNm,sprvsnInstPicNm,srngMthdCn,zipCd
"지원대상
 - 학자금 대출이자 지원 공고일 현재 본인이 진주시에 주민등록이  되어 있는 경우나 부모(부모가 없는 경우 직계존속)가 공고일 기준으로 1년 이상 진주시에 주민등록이 되어 있으면서
 - 한국장학재단의 취업후상환 학자금대출, 일반상환 학자금대출을 받은 재학 또는 휴학 중인 대학(원)생  *졸업생, 수료생, 제적생 제외",0057001,,20250801 ~ 20250828,20250101,20251231,,0056001,032,1,013,004,0043001,,0,0,,2025-12-31 11:09:00,3,0013010,2025-12-31 14:15:27,복지문화,취약계층 및 금융지원,0055003,       ,,,진주시 홈페이지 → 분야별정보 → 교육정보 → 학자금대출이자 지원 클릭 또는 팝업창 클릭  ,0044002,"2025년 하반기 진주시 대학생 학자금 대출이자 지원
","교육지원,대출",0011009,진주시 대학생 학자금 대출이자 지원,20251231005400212071,0042013,"2025년 하반기 진주시 대학생 학자금 대출이자 지원
- 대출시점 2017년 1학기부터 한국장학재단에서 받은  학자금 대출의 2025년 상반기(25 1. 1. ~ 6. 30.) 동안 발생한 이자 지원","지원불가 
- 한국장학재단에서 지원 대상자 대출정보 제공 기준일에 대출금  전액 상환된 대출 건의 경우 지원 불가 
 - 국가, 타 지자체, 기업체 등과 중복지원 불가",0054002,https://www.jinju.go.kr/00130/02730/05586.web,https://www.jinju.go.kr/00134/00616/06670.web,6480000,,5310326,경상남도 진주시 인구청년정책관,5310000,,0014010,"구비서류 : 공고일 이후 발급분, 주민등록번호 뒷자리 7자리 비공개
   1. 공고일 기준 신청인(대학생) 본인이 진주시에 주민등록이 되어 있는 경우 
     ① 재학(휴학)증명서 
     ② 본인의 주민등록초본(최근 5년간 주소변동사항, 전입변동일 포함)
   2. 신청인(대학생)의 부모(부모가 없는 경우 직계존속)가 공고일 기준으로 
     1년 이상 진주시에 주민등록이 되어 있는 경우  
     ① 재학(휴학)증명서
     ② 부 또는 모의 주민등록초본(최근 5년간 주소변동사항, 전입변동일 포함) 
     ③ 부 또는 모의 가족관계증명서",0049005,N,0,N,Y,0,0,5310332,경상남도 진주시 교육체육국,," 선정방법 : 예산의 범위 내에서 지원하되, 예산 범위 초과 시 한국장학재단의 학자금지원 소득분위(지원구간)순으로 예산 범위 내 선정",48170
,0057001,,20250623 ~ 20250708,20250515,20251231,,0056001,052,1,020,005,0043001,,0,0,,2025-12-31 10:12:26,6,0013010,2025-12-31 15:28:46,참여권리,청년국제교류,0055003,       ,,,온라인 신청,0044002,"도민참여형 기후위기 공동대응을 위한 청년 해외봉사단 파견(경기청년 200명, 5개국)",해외진출,0011009,경기청년 기후특사단,20251231005400212070,0042002,"해외봉사를 위한 항공권, 현지 체제비, 단원물품, 
봉사물품 지원",,0054002,https://apply.jobaba.net,https://apply.jobaba.net/bsns/bsnsDetailView.do?bsnsSeq=4530,6410000,경기도,6410000,경기도,0000000,경기도,0014010,"지원서, 우대사항 증빙서류 등",0049010,N,200,N,N,39,19,6410000,경기도,안철진,"1차 서류심사, 2차 대면 심사 
후 선정","41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
,0057001,,20250101 ~ 20251231,20250101,20251231,,0056001,051,1,020,005,0043001,,0,0,,2025-12-31 10:08:48,2,0013010,2025-12-31 15:26:55,참여권리,권익보호,0055003,       ,,,○경기도 홈페이지 공모,0044002,"경기도 내 대학교 노동인권 교양강좌(학점인정) 및 특강 개설 지원, 다양한 노동인권 프로그램 개발 지원",교육지원,0011009,대학교 노동인권 강좌개설 및 프로그램 개발,20251231005400212069,0042002," ○ 사업대상 : 경기도내 대학교('25년 8개 대학 선정)
 ○ 추진방법 : 공모를 통한 선정
 ○ 주요 내용 : 경기도 내 대학의 노동인권 교양강좌(학점인정) 운영을 통한 노동인권 의식 함양 및 문제해결 역량 강화",,0054002,https://www.gg.go.kr/,,6410000,경기도,6410000,경기도,0000000,경기도,0014010,○경기도 홈페이지 참조,0049010,N,0,Y,N,39,19,6410000,경기도,김수진,○경기도 홈페이지 발표,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
,0057001,https://apply.jobaba.net,20250324 ~ 20250420,20250101,20251231,,0056001,050,1,019,005,0043001,,0,0,,2025-12-31 10:06:27,2,0013010,2025-12-31 15:31:36,"참여권리,참여권리","청년참여,정책인프라구축",0055003,       ,,,잡아바어플라이 통해 연구계획서 제출,0044002,청년공동체가 청년 당사자의 눈으로 도내 지역사회 문제 해결방안 또는 청년정책 발전방안을 도출해 볼 수 있도록 연구활동 기회 지원,보조금,0011009,청년공동체 연구지원 사업,20251231005400212068,0042002,"연구활동비(연구수행비, 자문료, 여비, 회의비 등) 최대 800만원 지원",,0054002,https://apply.jobaba.net,,6410000,경기도,6410000,경기도,0000000,경기도,0014010,,0049010,N,0,Y,N,39,19,6410000,경기도,차병규,,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
,0057003,,,20250101,20251231,,0056001,045,1,017,005,0043001,,0,0,,2025-12-31 10:04:12,2,0013010,2026-01-01 00:00:00,참여권리,청년참여,0055003,       ,,,온라인 신청(통합접수시스템 ‘잡아바어플라이'),0044002,청년의 도정 참여기회 및 소통 확대를 통한 수요자 중심 맞춤형 청년정책 수립 등,교육지원,0011009,경기도 청년참여기구 운영,20251231005400212067,0042002,"○ 주요역할 : 청년 관련 의제발굴 및 정책 제안, 의견 제시 및 정책환류 등
 ○ 주요 프로그램
  - 역량강화교육, 정책모니터링, 온라인청년패널, 사회공헌활동, 토론회 운영 등
  - 청년참여형 주민참여예산 정책 제안 과정 운영(공론장, 숙의토론회 등)",,0054002,https://apply.jobaba.net,,6410000,경기도,6410000,경기도,0000000,경기도,0014010,신청서,0049010,N,350,N,N,39,19,6410000,경기도,김민규,홈페이지 및 개별연락,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
,0057001,,20250101 ~ 20251231,20250101,20251231,,0056001,041,1,016,004,0043001,,0,0,,2025-12-31 10:01:36,4,0013010,2025-12-31 15:10:50,복지문화,예술인지원,0055003,       ,,,홈페이지 및 개별연락,0044002,"지역 기반 창의적 관광상품·서비스로 창업할 청년 창업자에게 교육 프로그램(상품개발 해커톤, 컨설팅 포함) 제공 및 창업·창직 지원 ",보조금,0011009,경기 청년기회 여행감독 육성 및 지원,20251231005400212066,0042002,"창업교육, 컨설팅, 공모전, 창업비 지원 등",,0054002,https://www.gg.go.kr/,,6410000,경기도,6410000,경기도,0000000,경기도,0014010,,0049010,N,0,Y,N,39,19,6410000,경기도,정훈미,,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
,0057001,,20250101 ~ 20251231,20250101,20251231,,0056001,040,1,015,004,0043001,,0,0,,2025-12-31 09:58:54,2,0013010,2025-12-31 15:01:39,복지문화,건강,0055003,       ,,,주민등록상 거주지 주민센터에 직접 방문 신청,0044002,복지부에서 각 시도별 1~3개소의 청년사회서비스사업단을 구성하여 지역 청년이 주체가 되어 지역사회서비스를 제공 (2025년에는 안산시 소재 '한양대 ERICA 산학협력단'이 사업단으로 선정됨),청년가장,0011009,지역사회서비스분야 청년사업단 지원,20251231005400212065,0042013,"BMI 23 이상 18.5 미만의 청년을 대상으로 근력향상, 체력증진 등 서비스 제공",,0054002,https://gg24.gg.go.kr,,6410000,경기도,6410000,경기도,0000000,경기도,0014010,"신청서, 이용자 유의사항 안내동의서 등",0049010,N,0,N,N,34,19,6410000,경기도,김승연,시군구 담당자가 우선순위를 감안하여 선정,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
,0057001,https://gg24.gg.go.kr/,20250301 ~ 20251231,20250301,20251231,,0056001,036,1,014,004,0043003,2024년 부부 합산 연소득 8천만원 이하,0,0,,2025-12-31 09:55:14,6,0013010,2025-12-31 14:53:42,복지문화,취약계층 및 금융지원,0055003,       ,,,"경기민원24(https://gg24.gg.go.kr/) 
온라인접수",0044002,청년 신혼부부의 경제적 부담 완화 및 생활 안정 지원,바우처,0011009,경기청년 결혼준비 지원 사업,20251231005400212064,0042006,"청년 신혼부부 2,650쌍
현금 100만원 지원",,0054002,https://gg24.gg.go.kr/,,6410000,경기도,6410000,경기도,0000000,경기도,0014010,"주민등록초본
혼인관계증명서
소득금액증명",0049010,N,5300,N,N,39,19,6410000,경기도,이경원,11월 선정,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
경기도 주민등록 거주 청년 중 현역 군복무 중인 자,0057001,,20250101 ~ 20251231,20250101,20251231,,0056001,036,1,014,004,0043001,,0,0,,2025-12-31 09:52:43,3,0013010,2025-12-31 14:53:10,복지문화,취약계층 및 금융지원,0055003,       ,,,"콜센터로 직접 접수
07046931655/07088923786",0044002,국토방위 의무에 전념할 수 있도록 군복무 청년들의 사회적 안전망 확보,보조금,0011009,군복무 경기청년 상해보험 가입지원,20251231005400212063,0042006,"군복무 중 사망, 상해·질병 후유장해 등 피해 발생 시 보험 지원",,0054002,https://www.gg.go.kr/contents/contents.do?ciIdx=1498&menuId=3400,,6410000,경기도,6410000,경기도,0000000,경기도,0014010,"·보험금 청구서
·개인정보 동의서
·주민등록등본
·복무확인서/병적증명서
·신분증사본 및 통장사본
·초진진료차트",0049010,N,58882,N,N,39,19,6410000,경기도,차병규,해당없음,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
경기도 거주 고립은둔청년,0057001,https://youth.gg.go.kr,20250630 ~ 20251231,20250630,20251231,,0056001,035,1,014,004,0043001,,0,0,,2025-12-31 09:50:11,1,0013010,2025-12-31 14:49:20,복지문화,취약계층 및 금융지원,0055003,       ,,,온라인 접수 (구글폼),0044002,상담 및 맞춤형 프로그램 지원 등을 통한 고립은둔 청년의 일상회복 및 자립 지원,맞춤형상담서비스,0011009,경기 고립은둔청년 지원,20251231005400212062,0042002,"경기 고립은둔 청년 500명에게 상담, 프로그램 진행
상담사, 현장실무자 연수
사업운영 매뉴얼 제작
인식개선 홍보",,0054002,https://youth.gg.go.kr,,6410000,경기도,6410000,경기도,0000000,경기도,0014010,없음,0049010,N,500,N,N,39,19,6410000,경기도,임혜미,"신청시 고립은둔선별척도 설문조사에 44점 이상인 자 중 선별 (타기관 이용경험이 적고, 지역균형고려 등)","41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
